City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
110,Lasa,IT,46.6166,10.7002,35.37,81,21,6.69,few clouds,2022-01-16 21:59:02
111,Hofn,IS,64.2539,-15.2082,28.76,93,100,8.16,light snow,2022-01-16 21:59:02
112,Staunton,US,38.1496,-79.0717,25.29,71,100,1.99,heavy snow,2022-01-16 21:59:02
113,Krasnoselkup,RU,65.7,82.4667,10.02,92,100,16.62,overcast clouds,2022-01-16 21:59:03
114,Katsuura,JP,35.1333,140.3,41.14,63,85,8.88,overcast clouds,2022-01-16 21:59:03
115,Imbituba,BR,-28.24,-48.6703,82.81,84,45,8.61,scattered clouds,2022-01-16 21:59:03
116,Kadoma,JP,34.7333,135.5833,41.18,71,75,2.3,broken clouds,2022-01-16 21:59:03
117,Cuiluan,CN,47.72,128.648,-3.68,99,100,2.39,overcast clouds,2022-01-16 21:59:04
118,Yar-Sale,RU,66.8333,70.8333,-10.19,100,53,5.59,broken clouds,2022-01-16 21:59:04
119,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,98,6.96,overcast clouds,2022-01-16 21:59:04
120,Hobyo,SO,5.3505,48.5268,76.91,73,99,13.8,overcast clouds,2022-01-16 21:49:39
121,Shingu,JP,33.7333,135.9833,46.9,75,99,7.2,overcast clouds,2022-01-16 21:59:05
122,Constitucion,CL,-35.3333,-72.4167,62.4,69,81,18.16,broken clouds,2022-01-16 21:59:05
123,Tres Lagoas,BR,-20.7511,-51.6783,82.08,61,100,16.24,overcast clouds,2022-01-16 21:59:05
124,Vieste,IT,41.8825,16.175,53.28,68,4,4.56,clear sky,2022-01-16 21:59:05
125,Tiznit,MA,29.5833,-9.5,53.74,33,21,6.67,few clouds,2022-01-16 21:57:22
126,Vardo,NO,70.3705,31.1107,28.38,64,75,25.32,broken clouds,2022-01-16 21:59:06
127,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,19.57,mist,2022-01-16 21:59:06
128,Chara,RU,56.9064,118.2631,-31.14,79,22,1.63,few clouds,2022-01-16 21:59:07
129,Tamayo,DO,18.3947,-71.2029,82.11,65,20,18.41,few clouds,2022-01-16 21:59:07
130,Thap Than,TH,15.4606,99.8917,73.71,60,100,1.07,overcast clouds,2022-01-16 21:59:07
131,Temiscaming,CA,46.7212,-79.0971,17.47,62,100,5.75,overcast clouds,2022-01-16 21:59:07
132,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,24.16,clear sky,2022-01-16 21:59:08
133,Andenes,NO,69.3143,16.1194,31.98,74,75,27.63,broken clouds,2022-01-16 21:59:08
134,Tuatapere,NZ,-46.1333,167.6833,68.59,51,90,6.4,overcast clouds,2022-01-16 21:59:08
135,Nouadhibou,MR,20.931,-17.0347,67.98,56,99,5.75,overcast clouds,2022-01-16 21:59:09
136,Fort Nelson,CA,58.8053,-122.7002,2.79,85,100,9.22,light snow,2022-01-16 21:59:09
137,Vostok,RU,46.4856,135.8833,-2.63,99,100,2.51,light snow,2022-01-16 21:59:09
138,Lichtenburg,ZA,-26.152,26.1597,60.78,86,10,4.0,clear sky,2022-01-16 21:57:18
139,Airai,TL,-8.9266,125.4092,61.52,88,100,2.06,overcast clouds,2022-01-16 22:00:10
140,Yangambi,CD,0.8102,24.4336,69.15,94,100,2.46,overcast clouds,2022-01-16 22:00:10
141,Provideniya,RU,64.3833,-173.3,3.31,60,0,11.18,clear sky,2022-01-16 22:00:11
142,Carbonia,IT,39.1672,8.5222,45.01,83,5,7.96,clear sky,2022-01-16 22:00:12
143,Trat,TH,12.5,102.5,81.99,93,17,2.37,few clouds,2022-01-16 22:00:13
144,Balkhash,KZ,46.844,74.9804,31.08,96,100,3.87,overcast clouds,2022-01-16 22:00:13
145,Karratha,AU,-20.7377,116.8463,79.93,58,12,16.96,few clouds,2022-01-16 22:00:14
146,Mehamn,NO,71.0357,27.8492,26.51,65,100,18.77,overcast clouds,2022-01-16 22:00:15
147,Rajpur,IN,22.3,74.35,61.5,66,0,7.18,clear sky,2022-01-16 22:00:15
148,Ust-Maya,RU,60.4167,134.5333,-32.35,100,96,1.01,overcast clouds,2022-01-16 22:00:16
149,Kenai,US,60.5544,-151.2583,15.03,90,46,1.92,scattered clouds,2022-01-16 21:58:30
